name,involved_companies,rating,rating_count,first_release_date,genres,platforms
The Witcher 3: Wild Hunt - Game of the Year Edition,"['CD Projekt RED', 'CD Projekt']",97.99493779876713,545,2016-08-29,"['Role-playing (RPG)', 'Adventure']","[{'id': 48, 'name': 'PlayStation 4'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 49, 'name': 'Xbox One'}]"
The Witcher 3: Wild Hunt - Complete Edition,"['Saber Interactive', 'CD Projekt RED']",97.78844777387299,165,2016-08-29,"['Role-playing (RPG)', 'Adventure']","[{'id': 169, 'name': 'Xbox Series X|S'}, {'id': 48, 'name': 'PlayStation 4'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 167, 'name': 'PlayStation 5'}, {'id': 49, 'name': 'Xbox One'}, {'id': 130, 'name': 'Nintendo Switch'}]"
Bloodborne: Game of the Year Edition,"['Sony Computer Entertainment', 'FromSoftware']",97.5340664876023,101,2015-11-27,['Role-playing (RPG)'],"[{'id': 48, 'name': 'PlayStation 4'}]"
The Witcher 3: Wild Hunt - Blood and Wine,['CD Projekt RED'],96.24639681294461,428,2016-05-30,"['Role-playing (RPG)', 'Adventure']","[{'id': 169, 'name': 'Xbox Series X|S'}, {'id': 48, 'name': 'PlayStation 4'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 167, 'name': 'PlayStation 5'}, {'id': 49, 'name': 'Xbox One'}, {'id': 130, 'name': 'Nintendo Switch'}]"
Baldur's Gate 3,"['Larian Studios', 'Wushu Studios', 'Anshar Studios']",96.09673018542018,822,2023-08-03,"['Role-playing (RPG)', 'Strategy', 'Turn-based strategy (TBS)', 'Tactical', 'Adventure']","[{'id': 170, 'name': 'Google Stadia'}, {'id': 169, 'name': 'Xbox Series X|S'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 167, 'name': 'PlayStation 5'}, {'id': 14, 'name': 'Mac'}]"
Elden Ring,"['Bandai Namco Entertainment', 'FromSoftware']",95.37264100813138,1415,2022-02-25,"['Role-playing (RPG)', 'Adventure']","[{'id': 169, 'name': 'Xbox Series X|S'}, {'id': 48, 'name': 'PlayStation 4'}, {'id': 508, 'name': 'Nintendo Switch 2'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 167, 'name': 'PlayStation 5'}, {'id': 49, 'name': 'Xbox One'}]"
Persona 5 Royal,"['Atlus', 'Sega', 'P Studio']",95.1816136169198,577,2019-10-31,"['Role-playing (RPG)', 'Turn-based strategy (TBS)', 'Adventure']","[{'id': 169, 'name': 'Xbox Series X|S'}, {'id': 48, 'name': 'PlayStation 4'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 167, 'name': 'PlayStation 5'}, {'id': 49, 'name': 'Xbox One'}, {'id': 130, 'name': 'Nintendo Switch'}]"
The Legend of Zelda: Tears of the Kingdom,"['Monolith Soft', 'Nintendo EPD Production Group No. 3', 'Nintendo']",94.16175731915537,578,2023-05-12,"['Role-playing (RPG)', 'Adventure']","[{'id': 130, 'name': 'Nintendo Switch'}]"
Disco Elysium,"['ZA/UM', 'ZA/UM', 'The Knights of Unity']",94.1591660719003,851,2019-10-15,"['Role-playing (RPG)', 'Adventure', 'Indie']","[{'id': 170, 'name': 'Google Stadia'}, {'id': 48, 'name': 'PlayStation 4'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 167, 'name': 'PlayStation 5'}, {'id': 14, 'name': 'Mac'}, {'id': 130, 'name': 'Nintendo Switch'}]"
Disco Elysium: The Final Cut,['ZA/UM'],94.00343710338055,163,2021-03-30,"['Role-playing (RPG)', 'Adventure', 'Indie']","[{'id': 170, 'name': 'Google Stadia'}, {'id': 169, 'name': 'Xbox Series X|S'}, {'id': 48, 'name': 'PlayStation 4'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 167, 'name': 'PlayStation 5'}, {'id': 14, 'name': 'Mac'}, {'id': 49, 'name': 'Xbox One'}, {'id': 130, 'name': 'Nintendo Switch'}]"
Bloodborne: The Old Hunters,"['FromSoftware', 'Sony Computer Entertainment']",93.96594013637386,143,2015-11-24,"['Role-playing (RPG)', 'Adventure']","[{'id': 48, 'name': 'PlayStation 4'}]"
The Witcher 3: Wild Hunt,"['WB Games', 'cdp.pl', 'Spike Chunsoft', 'Bandai Namco Entertainment', 'CD Projekt RED', 'D3T Limited', 'Saber Interactive']",93.95540201309522,4442,2015-05-19,"['Role-playing (RPG)', 'Adventure']","[{'id': 169, 'name': 'Xbox Series X|S'}, {'id': 48, 'name': 'PlayStation 4'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 167, 'name': 'PlayStation 5'}, {'id': 49, 'name': 'Xbox One'}, {'id': 130, 'name': 'Nintendo Switch'}]"
Half-Life: Alyx,['Valve'],93.63401949728629,138,2020-03-23,"['Shooter', 'Puzzle', 'Adventure']","[{'id': 161, 'name': 'Windows Mixed Reality'}, {'id': 163, 'name': 'SteamVR'}, {'id': 385, 'name': 'Oculus Rift'}]"
Sunflower Land,['Thought Farm PTY LTD'],93.18431109192369,87,2022-04-15,['Simulator'],"[{'id': 82, 'name': 'Web browser'}]"
